title,task_type,task_type_numeric,priority,priority_numeric,story_points,word_count,actual_days
API integration with third-party service,backend,0,Low,2,3,5,3.4
Update sidebar navigation component,frontend,1,Low,2,5,4,4.2
QA test suite for frontend components,testing,2,High,4,1,6,1.0
Build REST API for user authentication,backend,0,High,4,13,6,7.7
Create e2e testing suite configuration,testing,2,Lowest,1,5,5,4.4
Refactor legacy code modules,general,4,Medium,3,1,4,3.2
Implement planning and task estimation,general,4,Lowest,1,5,5,5.4
Update project README,general,4,Highest,5,5,3,3.2
Design homepage UI redesign,frontend,1,High,4,2,4,1.0
Risk Analytics Page Frontend,frontend,1,Medium,3,5,4,4.0
Write unit tests for auth service,testing,2,Highest,5,2,6,1.4
Write test cases for sprint calculator,testing,2,Low,2,1,6,1.7
Fix monitoring alerts detection service,backend,0,Medium,3,13,5,10.2
Backend API for Sprint Data,backend,0,Highest,5,8,5,6.0
Build risk scoring calculation engine,backend,0,High,4,5,5,2.0
API integration with third-party service,backend,0,Low,2,5,5,7.9
Backend API for Sprint Data,backend,0,Highest,5,8,5,6.0
Build WebSocket server connection,backend,0,Highest,5,8,4,8.3
Document API endpoints,general,4,High,4,8,3,4.6
Implement REST API for user authentication,backend,0,High,4,2,6,4.6
Suggestions Approve and Sync Jira,backend,0,Highest,5,8,5,5.0
Design settings page UI,frontend,1,High,4,3,4,3.5
Failure Probability Calculator,backend,0,High,4,5,3,4.0
Create health score calculator backend,backend,0,Lowest,1,8,5,7.5
Create database schema for reports,backend,0,Highest,5,8,5,8.2
Add project repository and structure,general,4,Medium,3,5,5,1.8
Build responsive dashboard layout,frontend,1,High,4,1,4,2.9
Document API endpoints,general,4,High,4,3,3,0.9
Team Workload Analysis Service,backend,0,Medium,3,8,4,5.5
Implement database migration script,backend,0,Low,2,2,4,3.2
Write test cases for sprint calculator,testing,2,Lowest,1,2,6,3.5
Database backup automation script,backend,0,Medium,3,1,4,2.3
Document API endpoints,general,4,Medium,3,1,3,1.2
Setup e2e testing suite configuration,testing,2,Low,2,5,5,2.2
Fix database schema for reports,backend,0,Lowest,1,3,5,4.6
Create e2e testing suite configuration,testing,2,High,4,5,5,1.2
Backend API for Sprint Data,backend,0,Highest,5,8,5,6.0
Dashboard header with project selector,frontend,1,Lowest,1,13,5,5.5
Add test suite for frontend components,testing,2,Medium,3,3,6,1.8
Create database schema for reports,backend,0,Low,2,2,5,4.1
Server-side validation and security fix,backend,0,Low,2,2,5,2.2
Update development environment,general,4,Low,2,8,3,3.1
End to End System Testing,testing,2,High,4,5,5,3.0
Monitoring Alerts Detection Service,backend,0,Highest,5,8,4,5.5
Database Backup Automation,backend,0,High,4,5,3,4.0
Database backup automation script,backend,0,Low,2,13,4,6.5
Performance load testing scripts,testing,2,High,4,13,4,2.5
Mobile Responsive Layouts,frontend,1,Medium,3,3,3,2.5
Add data visualization charts,frontend,1,Low,2,2,4,2.0
Setup project repository and structure,general,4,Low,2,3,5,6.2
What If Scenario Simulator,backend,0,High,4,5,4,4.0
Server-side validation and security fix,backend,0,Low,2,5,5,4.9
Build WebSocket server connection,backend,0,Highest,5,8,4,8.3
Homepage UI Redesign,frontend,1,High,4,5,3,4.0
Create JWT token validation service,backend,0,Low,2,3,5,4.0
Update login form with validation,frontend,1,High,4,3,5,5.0
Sprint Health Score Calculator,backend,0,High,4,5,4,3.5
Unit tests for risk scoring engine,testing,2,Medium,3,2,6,1.0
Create project README,general,4,Low,2,8,3,5.0
Create database schema for reports,backend,0,Lowest,1,8,5,9.2
Update integration testing setup,frontend,1,Highest,5,1,4,2.0
Refactor legacy code modules,general,4,Low,2,8,4,7.1
Write integration tests for Jira service,testing,2,Lowest,1,5,6,1.9
WebSocket Live Agent Feed,backend,0,High,4,5,4,3.5
Database Migration Script,backend,0,High,4,8,3,6.5
Monitoring Alerts Detection Service,backend,0,Highest,5,8,4,5.5
Design risk analytics page frontend,frontend,1,Highest,5,3,5,1.5
Document API endpoints,general,4,Highest,5,1,3,1.6
Build REST API for user authentication,backend,0,Low,2,1,6,2.6
Design homepage UI redesign,frontend,1,Highest,5,2,4,1.7
Refactor legacy code modules,general,4,High,4,8,4,6.1
Add health score calculator backend,backend,0,Lowest,1,13,5,19.2
Mobile Responsive Layouts,frontend,1,Medium,3,3,3,2.5
Design risk analytics page frontend,frontend,1,Medium,3,13,5,9.0
Gemini API Integration Setup,backend,0,High,4,5,4,3.0
End to End Testing,testing,2,High,4,5,4,3.0
Create planning and task estimation,general,4,Low,2,5,5,4.7
Fix service for file uploads,backend,0,High,4,3,5,2.7
Frontend integration testing setup,frontend,1,High,4,3,4,3.8
Create test suite for frontend components,testing,2,Low,2,2,6,1.7
Add integration tests for Jira service,testing,2,Lowest,1,1,6,2.5
Design risk analytics page frontend,frontend,1,Lowest,1,3,5,5.2
Add planning and task estimation,general,4,Lowest,1,8,5,7.8
Backend service for file uploads,backend,0,Medium,3,1,5,4.2
Failure Probability Calculator,backend,0,High,4,5,3,4.0
Add development environment,general,4,High,4,5,3,1.8
Fix project repository and structure,general,4,Lowest,1,13,5,8.2
Write integration tests for Jira service,testing,2,Highest,5,13,6,4.1
Setup backend API for sprint analytics,backend,0,Low,2,1,6,3.3
Add project repository and structure,general,4,Lowest,1,2,5,2.2
Backend API for Risk Analysis,backend,0,High,4,8,5,5.5
Add planning and task estimation,general,4,Low,2,8,5,4.3
Add development environment,general,4,Lowest,1,1,3,0.9
Unit tests for risk scoring engine,testing,2,Highest,5,1,6,1.5
Setup drag and drop interface,frontend,1,Lowest,1,13,5,14.7
Build development environment,general,4,Low,2,3,3,4.1
Database Backup Automation,backend,0,High,4,5,3,4.0
Document API endpoints,general,4,High,4,8,3,6.7
End to End System Testing,testing,2,High,4,5,5,3.0
Implement risk analytics page frontend,frontend,1,High,4,2,5,2.8
QA Test Suite Configuration,testing,2,Medium,3,3,4,2.0
Configure development environment,general,4,Highest,5,2,3,2.9
Create e2e testing suite configuration,testing,2,Lowest,1,13,5,4.4
Implement monitoring alerts detection service,backend,0,Lowest,1,8,5,6.4
Add backup automation script,backend,0,Highest,5,1,4,2.4
Setup Frontend Component Library,frontend,1,High,4,5,4,3.0
Failure Probability Calculator,backend,0,High,4,5,3,4.0
Create test suite for frontend components,testing,2,Lowest,1,8,6,6.8
Implement Redis caching layer,backend,0,Lowest,1,5,4,6.3
Implement WebSocket server connection,backend,0,High,4,13,4,4.5
End to end system testing,testing,2,Medium,3,8,5,1.8
Build project README,general,4,Low,2,8,3,9.0
Update review and cleanup,general,4,Highest,5,5,4,1.8
Build monitoring alerts detection service,backend,0,Lowest,1,2,5,4.2
Sprint Health Score Calculator,backend,0,High,4,5,4,3.5
Refactor legacy code modules,general,4,Lowest,1,5,4,5.8
End to End Testing,testing,2,High,4,5,4,3.0
Fix test suite for frontend components,testing,2,Medium,3,2,6,1.2
Add planning and task estimation,general,4,Low,2,1,5,3.0
Write unit tests for auth service,testing,2,High,4,8,6,2.8
Predictive Risk Timeline Builder,backend,0,High,4,5,4,3.5
Implement test cases for sprint calculator,testing,2,Medium,3,8,6,2.6
Implement monitoring alerts detection service,backend,0,Low,2,2,5,4.9
Sprint Burndown Data Service,backend,0,Medium,3,3,4,2.0
Dashboard Redesign UI,frontend,1,High,4,5,3,3.5
Implement API endpoints,general,4,Medium,3,13,3,8.3
Create project README,general,4,Highest,5,3,3,1.9
Risk Analytics Page Frontend,frontend,1,Medium,3,5,4,4.0
Sprint Health Score Calculator,backend,0,High,4,5,4,3.5
Update review and cleanup,general,4,Low,2,1,4,2.6
End to End System Testing,testing,2,High,4,5,5,3.0
Homepage UI Redesign,frontend,1,High,4,5,3,4.0
Build e2e testing suite configuration,testing,2,Highest,5,3,5,1.7
Frontend API Integration Testing,testing,2,Medium,3,3,4,2.5
Implement drag and drop interface,frontend,1,High,4,1,5,3.4
Fix settings page UI,frontend,1,High,4,13,4,9.4
Create JWT token validation service,backend,0,Lowest,1,3,5,9.3
Database Backup Automation,backend,0,High,4,5,3,4.0
Unit tests for risk scoring engine,testing,2,Lowest,1,5,6,3.9
WebSocket Live Agent Feed,backend,0,High,4,5,4,3.5
Implement Redis caching layer,backend,0,Low,2,5,4,8.5
Build development environment,general,4,Highest,5,13,3,5.5
Implement burndown chart component,frontend,1,Highest,5,13,4,8.2
Fix development environment,general,4,Low,2,2,3,1.6
Code review and cleanup,general,4,Medium,3,3,4,2.6
Setup monitoring and logging,general,4,High,4,8,4,1.3
Create data visualization charts,frontend,1,Low,2,5,4,2.9
Implement backup automation script,backend,0,Highest,5,8,4,7.8
Create e2e testing suite configuration,testing,2,Lowest,1,1,5,0.9
Setup project repository and structure,general,4,Highest,5,8,5,3.8
Create database schema for reports,backend,0,Lowest,1,13,5,17.8
Develop backend API for sprint analytics,backend,0,Medium,3,2,6,4.9
Backend API for Risk Analysis,backend,0,High,4,8,5,5.5
Develop backend API for sprint analytics,backend,0,Medium,3,8,6,6.7
Sprint Burndown Data Service,backend,0,Medium,3,3,4,2.0
QA Test Suite Configuration,testing,2,Medium,3,3,4,2.0
API endpoint for dashboard metrics,backend,0,Lowest,1,3,5,5.8
Decision History Logging Service,backend,0,High,4,5,4,3.0
Refactor legacy code modules,general,4,High,4,1,4,1.3
Backend service for file uploads,backend,0,Highest,5,2,5,4.2
Sprint planning and task estimation,general,4,Low,2,2,5,0.9
Setup review and cleanup,general,4,Low,2,3,4,2.2
Create e2e testing suite configuration,testing,2,Highest,5,3,5,2.1
Build knowledge transfer session,general,4,Low,2,5,4,4.4
Add login form with validation,frontend,1,High,4,2,5,2.5
Security Authentication Fix,backend,0,High,4,5,3,4.0
Implement Redis caching layer,backend,0,High,4,2,4,4.9
Implement API endpoints,general,4,High,4,8,3,4.2
Document API endpoints,general,4,Lowest,1,13,3,13.2
Add test for API endpoints,testing,2,Lowest,1,1,5,1.9
Setup unit tests for auth service,testing,2,Lowest,1,2,6,1.9
Build test for API endpoints,testing,2,Low,2,1,5,0.9
Dashboard Redesign UI,frontend,1,High,4,5,3,3.5
Implement to end system testing,testing,2,Highest,5,5,5,3.5
AI Suggestions Page Frontend,frontend,1,High,4,5,4,3.5
API endpoint for dashboard metrics,backend,0,Medium,3,2,5,3.1
Risk Analytics Page Frontend,frontend,1,Medium,3,5,4,4.0
Performance load testing scripts,testing,2,High,4,13,4,4.7
Code review and cleanup,general,4,Highest,5,8,4,4.5
QA test suite for frontend components,testing,2,Medium,3,1,6,1.7
Update project README,general,4,Lowest,1,13,3,10.6
Suggestions Approve and Sync Jira,backend,0,Highest,5,8,5,5.0
Performance Load Testing,testing,2,Medium,3,3,3,1.5
Configure development environment,general,4,High,4,2,3,1.1
Document API endpoints,general,4,Medium,3,13,3,6.1
Code review and cleanup,general,4,Medium,3,2,4,1.9
Setup project repository and structure,general,4,Low,2,1,5,2.3
Create legacy code modules,general,4,Lowest,1,5,4,5.8
Write test cases for sprint calculator,testing,2,Lowest,1,13,6,3.1
Database Migration Script,backend,0,High,4,8,3,6.5
Add test for API endpoints,testing,2,Medium,3,13,5,6.9
Build monitoring alerts detection service,backend,0,Highest,5,13,5,8.2
Team Workload Analysis Service,backend,0,Medium,3,8,4,5.5
Add database schema for reports,backend,0,Highest,5,5,5,3.7
Build WebSocket server connection,backend,0,Low,2,3,4,2.0
Integration test for API endpoints,testing,2,High,4,3,5,3.4
Create e2e testing suite configuration,testing,2,Low,2,3,5,2.0
Build monitoring alerts detection service,backend,0,High,4,8,5,6.5
Fix data visualization charts,frontend,1,High,4,5,4,4.2
Code review and cleanup,general,4,Lowest,1,8,4,4.8
Sprint planning and task estimation,general,4,Lowest,1,2,5,1.9
Backend service for file uploads,backend,0,Low,2,5,5,7.9
Frontend integration testing setup,frontend,1,High,4,5,4,6.0
Implement project repository and structure,general,4,Low,2,2,5,3.1
End to End Testing,testing,2,High,4,5,4,3.0
Security Authentication Fix,backend,0,High,4,5,3,4.0
Update project README,general,4,Low,2,5,3,7.1
Add header with project selector,frontend,1,Lowest,1,1,5,2.6
Setup monitoring and logging,general,4,Medium,3,8,4,4.0
End to End System Testing,testing,2,High,4,5,5,3.0
Build Risk Scoring Engine,backend,0,Highest,5,8,4,5.0
Dashboard Redesign UI,frontend,1,High,4,5,3,3.5
Backend service for file uploads,backend,0,Medium,3,8,5,9.3
Implement database migration script,backend,0,High,4,1,4,2.2
Database Migration Script,backend,0,High,4,8,3,6.5
Add database migration script,backend,0,Lowest,1,5,4,4.3
Security Authentication Fix,backend,0,High,4,5,3,4.0
API integration with third-party service,backend,0,High,4,8,5,6.4
QA Test Suite Configuration,testing,2,Medium,3,3,4,2.0
Database Migration Script,backend,0,High,4,8,3,6.5
Build legacy code modules,general,4,Lowest,1,13,4,7.5
Homepage UI Redesign,frontend,1,High,4,5,3,4.0
Implement database migration script,backend,0,Highest,5,8,4,6.7
Setup integration testing setup,frontend,1,Highest,5,2,4,1.3
Dashboard Redesign UI,frontend,1,High,4,5,3,3.5
Build sidebar navigation component,frontend,1,Low,2,3,4,3.9
Build sidebar navigation component,frontend,1,Low,2,1,4,1.7
Implement monitoring and logging,general,4,Low,2,2,4,1.9
Build responsive dashboard layout,frontend,1,High,4,13,4,10.9
Build sidebar navigation component,frontend,1,High,4,3,4,5.3
Monitoring Alerts Detection Service,backend,0,Highest,5,8,4,5.5
Setup monitoring and logging,general,4,Medium,3,2,4,2.3
Update project README,general,4,Lowest,1,2,3,2.4
Sprint planning and task estimation,general,4,High,4,3,5,1.1
End to End Testing,testing,2,High,4,5,4,3.0
What If Scenario Simulator,backend,0,High,4,5,4,4.0
Setup header with project selector,frontend,1,Medium,3,2,5,1.9
What If Scenario Simulator,backend,0,High,4,5,4,4.0
Develop backend API for sprint analytics,backend,0,Medium,3,2,6,4.5
Build REST API for user authentication,backend,0,High,4,8,6,5.5
Build test suite for frontend components,testing,2,Medium,3,5,6,5.5
Sprint planning and task estimation,general,4,Lowest,1,2,5,1.1
AI Suggestions Generation Engine,backend,0,Highest,5,8,4,6.0
AI Suggestions Page Frontend,frontend,1,High,4,5,4,3.5
Setup development environment,general,4,High,4,3,3,2.9
Fix JWT token validation service,backend,0,Low,2,1,5,1.5
Setup JWT token validation service,backend,0,Highest,5,2,5,2.9
Write test cases for sprint calculator,testing,2,High,4,1,6,1.7
Integration test for API endpoints,testing,2,Low,2,5,5,2.7
Unit tests for risk scoring engine,testing,2,Highest,5,1,6,0.7
Write unit tests for auth service,testing,2,Lowest,1,8,6,3.9
Frontend integration testing setup,frontend,1,Lowest,1,5,4,2.2
Mobile Responsive Layouts,frontend,1,Medium,3,3,3,2.5
Frontend API Integration Testing,testing,2,Medium,3,3,4,2.5
Create WebSocket server connection,backend,0,Medium,3,2,4,4.6
Create REST API for user authentication,backend,0,Lowest,1,5,6,5.9
Integration test for API endpoints,testing,2,High,4,13,5,2.5
Build AI suggestions page component,frontend,1,Highest,5,13,5,6.9
Sprint Health Score Calculator,backend,0,High,4,5,4,3.5
Team Workload Analysis Service,backend,0,Medium,3,8,4,5.5
End to End System Testing,testing,2,High,4,5,5,3.0
API integration with third-party service,backend,0,Medium,3,3,5,2.2
QA Test Suite Configuration,testing,2,Medium,3,3,4,2.0
Add integration with third-party service,backend,0,Medium,3,1,5,4.8
End to End System Testing,testing,2,High,4,5,5,3.0
Dashboard header with project selector,frontend,1,Low,2,8,5,6.3
Sprint Health Score Calculator,backend,0,High,4,5,4,3.5
Create integration with third-party service,backend,0,Low,2,1,5,2.1
Sprint planning and task estimation,general,4,Low,2,1,5,1.1
Write integration tests for Jira service,testing,2,High,4,3,6,1.8
Sprint planning and task estimation,general,4,Low,2,8,5,4.7
Refactor legacy code modules,general,4,High,4,3,4,1.4
Database backup automation script,backend,0,Medium,3,13,4,11.2
Update load testing scripts,testing,2,Medium,3,5,4,2.9
Implement WebSocket server connection,backend,0,High,4,2,4,1.4
Build sidebar navigation component,frontend,1,Low,2,1,4,2.8
Refactor legacy code modules,general,4,Lowest,1,8,4,6.0
End to End Testing,testing,2,High,4,5,4,3.0
AI Suggestions Page Frontend,frontend,1,High,4,5,4,3.5
Setup Frontend Component Library,frontend,1,High,4,5,4,3.0
Dashboard Redesign UI,frontend,1,High,4,5,3,3.5
Backend API for Risk Analysis,backend,0,High,4,8,5,5.5
Implement health score calculator backend,backend,0,Medium,3,2,5,2.4
Build burndown chart component,frontend,1,Highest,5,8,4,3.4
Add REST API for user authentication,backend,0,Low,2,5,6,4.9
Database Backup Automation,backend,0,High,4,5,3,4.0
Create data visualization charts,frontend,1,Medium,3,3,4,2.7
Update risk scoring calculation engine,backend,0,Lowest,1,5,5,5.8
Design risk analytics page frontend,frontend,1,Lowest,1,5,5,5.2
Refactor legacy code modules,general,4,Low,2,5,4,6.0
Decision History Logging Service,backend,0,High,4,5,4,3.0
Implement legacy code modules,general,4,Low,2,5,4,2.9
Write integration tests for Jira service,testing,2,Low,2,8,6,1.9
Configure development environment,general,4,High,4,1,3,0.8
Security Authentication Fix,backend,0,High,4,5,3,4.0
Homepage UI Redesign,frontend,1,High,4,5,3,4.0
Implement JWT token validation service,backend,0,Low,2,8,5,8.3
Create data visualization charts,frontend,1,Highest,5,2,4,3.2
End to End Testing,testing,2,High,4,5,4,3.0
Implement REST API for user authentication,backend,0,High,4,2,6,4.5
Team Workload Analysis Service,backend,0,Medium,3,8,4,5.5
Implement Redis caching layer,backend,0,Highest,5,8,4,6.4
AI Suggestions Page Frontend,frontend,1,High,4,5,4,3.5
Add tests for risk scoring engine,testing,2,Medium,3,8,6,4.2
What If Scenario Simulator,backend,0,High,4,5,4,4.0
Implement Redis caching layer,backend,0,Highest,5,1,4,1.1
Configure development environment,general,4,Highest,5,1,3,0.9
Frontend API Integration Testing,testing,2,Medium,3,3,4,2.5
Create API endpoints,general,4,High,4,5,3,1.7
Create validation and security fix,backend,0,Low,2,3,5,5.5
Unit tests for risk scoring engine,testing,2,Medium,3,8,6,4.0
Add service for file uploads,backend,0,Lowest,1,1,5,3.3
Implement WebSocket server connection,backend,0,High,4,2,4,2.1
Monitoring Alerts Detection Service,backend,0,Highest,5,8,4,5.5
Implement mobile responsive layouts,frontend,1,Lowest,1,13,4,7.8
Implement WebSocket server connection,backend,0,Lowest,1,13,4,19.3
Build API endpoints,general,4,Lowest,1,8,3,4.3
Homepage UI Redesign,frontend,1,High,4,5,3,4.0
Setup settings page UI,frontend,1,Highest,5,3,4,1.5
Add risk analytics page frontend,frontend,1,Highest,5,13,5,7.3
Gemini API Integration Setup,backend,0,High,4,5,4,3.0
Implement integration tests for Jira service,testing,2,High,4,5,6,3.3
Refactor legacy code modules,general,4,Highest,5,5,4,5.5
Build integration with third-party service,backend,0,Low,2,13,5,13.1
Build sidebar navigation component,frontend,1,Lowest,1,2,4,5.9
Refactor legacy code modules,general,4,Lowest,1,2,4,0.9
Update knowledge transfer session,general,4,Highest,5,13,4,4.3
Update project README,general,4,High,4,13,3,7.9
Create login form with validation,frontend,1,Lowest,1,2,5,2.4
API integration with third-party service,backend,0,Medium,3,2,5,3.6
End to end system testing,testing,2,Lowest,1,5,5,3.4
Setup project repository and structure,general,4,Low,2,2,5,3.5
Test automation for login flow,testing,2,Medium,3,1,5,2.0
Database Migration Script,backend,0,High,4,8,3,6.5
Implement Redis caching layer,backend,0,Low,2,3,4,4.4
API integration with third-party service,backend,0,Highest,5,1,5,3.5
What If Scenario Simulator,backend,0,High,4,5,4,4.0
Test automation for login flow,testing,2,Medium,3,1,5,1.2
Setup validation and security fix,backend,0,High,4,13,5,10.6
Sprint planning and task estimation,general,4,Low,2,2,5,4.2
Update project README,general,4,Highest,5,8,3,2.3
Refactor legacy code modules,general,4,Medium,3,5,4,5.3
Write test cases for sprint calculator,testing,2,Lowest,1,5,6,3.5
Database Migration Script,backend,0,High,4,8,3,6.5
Build tests for risk scoring engine,testing,2,Medium,3,1,6,1.3
Backend API for Risk Analysis,backend,0,High,4,8,5,5.5
Develop backend API for sprint analytics,backend,0,Highest,5,8,6,9.4
Add database schema for reports,backend,0,High,4,8,5,3.1
Suggestions Approve and Sync Jira,backend,0,Highest,5,8,5,5.0
Suggestions Approve and Sync Jira,backend,0,Highest,5,8,5,5.0
Predictive Risk Timeline Builder,backend,0,High,4,5,4,3.5
Implement drag and drop interface,frontend,1,Low,2,2,5,6.7
Homepage UI Redesign,frontend,1,High,4,5,3,4.0
Create project README,general,4,Medium,3,13,3,8.7
Sprint Burndown Data Service,backend,0,Medium,3,3,4,2.0
Build burndown chart component,frontend,1,High,4,5,4,5.2
Update project README,general,4,Medium,3,2,3,2.8
What If Scenario Simulator,backend,0,High,4,5,4,4.0
End to End System Testing,testing,2,High,4,5,5,3.0
Create e2e testing suite configuration,testing,2,Low,2,2,5,1.1
Create reusable button components,frontend,1,Lowest,1,5,4,4.0
Sprint planning and task estimation,general,4,Lowest,1,2,5,0.9
Write unit tests for auth service,testing,2,Lowest,1,3,6,3.4
Setup Frontend Component Library,frontend,1,High,4,5,4,3.0
Unit tests for risk scoring engine,testing,2,Medium,3,2,6,1.7
Backend API for Sprint Data,backend,0,Highest,5,8,5,6.0
Sprint planning and task estimation,general,4,Medium,3,3,5,2.2
Database Migration Script,backend,0,High,4,8,3,6.5
Database Backup Automation,backend,0,High,4,5,3,4.0
Build risk scoring calculation engine,backend,0,Medium,3,2,5,4.6
End to end system testing,testing,2,Medium,3,8,5,1.3
Build sidebar navigation component,frontend,1,Lowest,1,1,4,4.4
Fix backup automation script,backend,0,Highest,5,8,4,6.0
What If Scenario Simulator,backend,0,High,4,5,4,4.0
Implement WebSocket server connection,backend,0,Lowest,1,13,4,20.4
Add to end system testing,testing,2,Medium,3,3,5,1.5
Fix service for file uploads,backend,0,Medium,3,13,5,5.2
Implement drag and drop interface,frontend,1,High,4,13,5,10.4
Team Workload Analysis Service,backend,0,Medium,3,8,4,5.5
Setup monitoring and logging,general,4,Low,2,1,4,1.9
QA test suite for frontend components,testing,2,Highest,5,5,6,2.1
Create JWT token validation service,backend,0,Medium,3,2,5,4.6
Implement sidebar navigation component,frontend,1,High,4,13,4,6.9
Build risk scoring calculation engine,backend,0,Low,2,8,5,10.0
End to end system testing,testing,2,Low,2,2,5,3.3
Test automation for login flow,testing,2,Lowest,1,2,5,1.4
Fix tests for risk scoring engine,testing,2,High,4,8,6,2.8
AI Suggestions Generation Engine,backend,0,Highest,5,8,4,6.0
Create service for file uploads,backend,0,Highest,5,1,5,2.8
Implement dark mode toggle,frontend,1,Low,2,5,4,3.9
Integration test for API endpoints,testing,2,Medium,3,5,5,2.2
Create automation for login flow,testing,2,Low,2,1,5,1.7
Document API endpoints,general,4,Highest,5,5,3,1.8
Configure development environment,general,4,Low,2,1,3,2.8
API integration with third-party service,backend,0,Medium,3,8,5,8.7
Predictive Risk Timeline Builder,backend,0,High,4,5,4,3.5
Monitoring Alerts Detection Service,backend,0,Highest,5,8,4,5.5
Backend service for file uploads,backend,0,Lowest,1,5,5,10.3
Backend API for Sprint Data,backend,0,Highest,5,8,5,6.0
Fix endpoint for dashboard metrics,backend,0,Medium,3,1,5,5.2
AI Suggestions Page Frontend,frontend,1,High,4,5,4,3.5
Update knowledge transfer session,general,4,Highest,5,1,4,1.5
Build Risk Scoring Engine,backend,0,Highest,5,8,4,5.0
Create monitoring and logging,general,4,Lowest,1,8,4,7.0
Add JWT token validation service,backend,0,Low,2,1,5,3.0
Homepage UI Redesign,frontend,1,High,4,5,3,4.0
Implement integration tests for Jira service,testing,2,Lowest,1,2,6,2.1
Implement database schema for reports,backend,0,Lowest,1,5,5,7.3
Setup burndown chart component,frontend,1,Medium,3,13,4,6.8
Predictive Risk Timeline Builder,backend,0,High,4,5,4,3.5
Sprint planning and task estimation,general,4,Highest,5,5,5,3.7
Code review and cleanup,general,4,High,4,5,4,5.2
Configure development environment,general,4,Low,2,8,3,2.7
Setup project README,general,4,Medium,3,5,3,6.8
Build test suite for frontend components,testing,2,High,4,3,6,1.7
Design homepage UI redesign,frontend,1,Lowest,1,8,4,4.7
Backend service for file uploads,backend,0,Highest,5,5,5,2.9
Performance Load Testing,testing,2,Medium,3,3,3,1.5
AI Suggestions Generation Engine,backend,0,Highest,5,8,4,6.0
Build risk scoring calculation engine,backend,0,Highest,5,8,5,8.3
Implement WebSocket server connection,backend,0,Highest,5,2,4,1.7
QA test suite for frontend components,testing,2,Highest,5,3,6,0.8
Build load testing scripts,testing,2,Low,2,5,4,4.9
Unit tests for risk scoring engine,testing,2,High,4,3,6,3.5
Setup monitoring and logging,general,4,Medium,3,13,4,4.5
Create JWT token validation service,backend,0,Lowest,1,3,5,8.9
Build AI suggestions page component,frontend,1,Highest,5,5,5,2.7
AI Suggestions Generation Engine,backend,0,Highest,5,8,4,6.0
Add legacy code modules,general,4,Medium,3,3,4,5.7
Database backup automation script,backend,0,High,4,1,4,2.0
Create JWT token validation service,backend,0,Medium,3,3,5,3.3
Performance Load Testing,testing,2,Medium,3,3,3,1.5
Setup review and cleanup,general,4,Low,2,3,4,2.1
Fix monitoring alerts detection service,backend,0,Lowest,1,2,5,6.0
Update database schema for reports,backend,0,Low,2,13,5,17.7
Integration test for API endpoints,testing,2,Highest,5,1,5,1.2
Sprint Burndown Data Service,backend,0,Medium,3,3,4,2.0
Update JWT token validation service,backend,0,Lowest,1,5,5,9.4
Build monitoring alerts detection service,backend,0,Low,2,5,5,3.2
Fix backup automation script,backend,0,Medium,3,13,4,12.3
Fix settings page UI,frontend,1,Low,2,1,4,1.5
Dashboard header with project selector,frontend,1,Low,2,1,5,3.3
Implement test cases for sprint calculator,testing,2,High,4,2,6,1.4
Implement project repository and structure,general,4,Lowest,1,13,5,9.4
Fix mobile responsive layouts,frontend,1,High,4,2,4,3.2
Design homepage UI redesign,frontend,1,Low,2,2,4,2.7
Implement test suite for frontend components,testing,2,Lowest,1,5,6,3.8
Setup Frontend Component Library,frontend,1,High,4,5,4,3.0
Create health score calculator backend,backend,0,Lowest,1,2,5,5.1
Write test cases for sprint calculator,testing,2,Lowest,1,1,6,1.8
Frontend integration testing setup,frontend,1,High,4,8,4,7.1
Build Risk Scoring Engine,backend,0,Highest,5,8,4,5.0
Build sidebar navigation component,frontend,1,High,4,3,4,1.3
Create project README,general,4,Lowest,1,13,3,6.0
